race_id,lapno,position,driver_id,laptime,racetime,gap,interval,compound,tireage,pitintime,pitstopduration,nextcompound,startlapprog_vsc,endlapprog_vsc,age_vsc,startlapprog_sc,endlapprog_sc,age_sc,id,carno,initials,name,date,season,location,availablecompounds,nolaps,nolapsplanned,tracklength,result_position,race_progress,remaining_pit_stops,relativecompound,fulfilled_second_compound,number_of_available_compounds,change_compound
120,18,1,27,73.901,1326.078,0.0,0.0,A4,20,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.237024901165,3,medium,True,3,False
120,19,1,27,73.968,1400.046,0.0,0.0,A4,21,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.2502460373948241,3,medium,True,3,False
120,20,1,27,74.015,1474.061,0.0,0.0,A4,22,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.2634755744655903,3,medium,True,3,False
120,21,1,27,78.141,1552.202,0.0,0.0,A4,23,2019-11-17 14:38:49,22.818,A4,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.2774425981262907,2,medium,True,3,False
120,22,5,27,90.128,1642.33,12.705,0.237,A4,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.2935521937098078,2,medium,True,3,False
120,23,3,27,72.448,1714.778,10.599,4.732,A4,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.30650164316874,2,medium,True,3,False
120,24,3,27,72.667,1787.445,8.574,3.085,A4,3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.3194902369716362,2,medium,True,3,False
120,25,3,27,72.637,1860.082,2.62,1.091,A4,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.3324734685356333,2,medium,True,3,False
120,26,1,27,73.46,1933.542,0.0,0.0,A4,5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.3456038041867646,2,medium,True,3,False
120,27,1,27,72.927,2006.469,0.0,0.0,A4,6,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.3586388707267871,2,medium,True,3,False
120,28,1,27,73.107,2079.576,0.0,0.0,A4,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.3717061107002047,2,medium,True,3,False
120,29,1,27,73.177,2152.753,0.0,0.0,A4,8,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.3847858625643871,2,medium,True,3,False
120,30,1,27,72.748,2225.501,0.0,0.0,A4,9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.3977889344123111,2,medium,True,3,False
120,31,1,27,72.58,2298.081,0.0,0.0,A4,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.4107619777223998,2,medium,True,3,False
120,32,1,27,72.579,2370.66,0.0,0.0,A4,11,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.4237348422911917,2,medium,True,3,False
120,33,1,27,72.471,2443.131,0.0,0.0,A4,12,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.4366884027999466,2,medium,True,3,False
120,34,1,27,72.787,2515.918,0.0,0.0,A4,13,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.4496984455584397,2,medium,True,3,False
120,35,1,27,72.747,2588.665,0.0,0.0,A4,14,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.4627013386650671,2,medium,True,3,False
120,36,1,27,72.876,2661.541,0.0,0.0,A4,15,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.475727289398961,2,medium,True,3,False
120,37,1,27,72.512,2734.053,0.0,0.0,A4,16,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.4886881783008781,2,medium,True,3,False
120,38,1,27,72.571,2806.624,0.0,0.0,A4,17,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.501659612939297,2,medium,True,3,False
120,39,1,27,72.655,2879.279,0.0,0.0,A4,18,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.5146460618466335,2,medium,True,3,False
120,40,1,27,72.979,2952.258,0.0,0.0,A4,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.5276904229340813,2,medium,True,3,False
120,41,1,27,73.072,3025.33,0.0,0.0,A4,20,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.5407514069621165,2,medium,True,3,False
120,42,1,27,72.699,3098.029,0.0,0.0,A4,21,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.5537457204865052,2,medium,True,3,False
120,43,1,27,72.858,3170.887,0.0,0.0,A4,22,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.5667684538770597,2,medium,True,3,False
120,44,1,27,76.121,3247.008,0.0,0.0,A4,23,2019-11-17 15:07:03,22.657,A3,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.5803744201185483,1,medium,True,3,False
120,45,2,27,88.667,3335.675,6.822,6.822,A3,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.5962228746676753,1,hard,True,3,True
120,46,2,27,71.27,3406.945,5.391,5.391,A3,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.6089617668791663,1,hard,True,3,True
120,47,2,27,70.962,3477.907,3.352,3.352,A3,3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.6216456067712923,1,hard,True,3,True
120,48,2,27,71.812,3549.719,1.992,1.992,A3,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.6344813767655618,1,hard,True,3,True
120,49,1,27,71.874,3621.593,0.0,0.0,A3,5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.647328228720223,1,hard,True,3,True
120,50,1,27,71.897,3693.49,0.0,0.0,A3,6,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.660179191724707,1,hard,True,3,True
120,51,1,27,72.046,3765.536,0.0,0.0,A3,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.6730567871823901,1,hard,True,3,True
120,52,1,27,71.436,3836.972,0.0,0.0,A3,8,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.6858253504491233,1,hard,True,3,True
120,53,1,27,72.324,3909.296,0.0,0.0,A3,9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.6987526359872722,1,hard,True,3,True
120,54,2,27,89.403,3998.699,1.627,1.627,A3,10,2019-11-17 15:19:35,22.593,A4,0.0,0.0,0.0,0.411,1.0,0.589,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.7147326441307257,1,hard,True,3,False
120,55,2,27,112.268,4110.967,4.444,4.444,A4,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.589,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.7347995720218393,0,medium,True,3,True
120,56,2,27,116.137,4227.104,3.278,3.278,A4,2,0,0.0,0,0.0,0.0,0.0,0.0,1.0,2.589,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.7555580499896509,0,medium,True,3,True
120,57,2,27,118.349,4345.453,1.045,1.045,A4,3,0,0.0,0,0.0,0.0,0.0,0.0,1.0,3.589,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.7767119037056289,0,medium,True,3,True
120,58,2,27,107.96,4453.413,1.011,1.011,A4,4,0,0.0,0,0.0,0.0,0.0,0.0,1.0,4.589,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.7960088140908198,0,medium,True,3,True
120,59,2,27,118.69,4572.103,0.116,0.116,A4,5,0,0.0,0,0.0,0.0,0.0,0.0,0.881,5.471,27,33,VER,Max Verstappen,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",71,71,4309.0,1.0,0.8172236185889519,0,medium,True,3,True
